county_fips,measure,value
21151,no_highschool_share,0.14828101
21209,no_highschool_share,0.12019742
21133,no_highschool_share,0.25222099
21093,no_highschool_share,0.11922434
21067,no_highschool_share,0.11361425
21059,no_highschool_share,0.11981969
21099,no_highschool_share,0.2879146
21205,no_highschool_share,0.22932582
21005,no_highschool_share,0.12760828
21123,no_highschool_share,0.19785544
21115,no_highschool_share,0.25793332
21107,no_highschool_share,0.17419116
21013,no_highschool_share,0.31688815
21051,no_highschool_share,0.36416996
21189,no_highschool_share,0.38578978
31171,no_highschool_share,0.054820415
30055,no_highschool_share,0.056011949
24005,no_highschool_share,0.10054825
24003,no_highschool_share,0.092539228
24013,no_highschool_share,0.084512301
24021,no_highschool_share,0.081554025
24039,no_highschool_share,0.20399362
24029,no_highschool_share,0.13318574
24047,no_highschool_share,0.10742208
39123,no_highschool_share,0.085341267
29057,no_highschool_share,0.14653003
28137,no_highschool_share,0.20131195
28033,no_highschool_share,0.11423672
28083,no_highschool_share,0.26840293
28087,no_highschool_share,0.17979893
28053,no_highschool_share,0.35909486
28131,no_highschool_share,0.15529187
36111,no_highschool_share,0.11269015
36043,no_highschool_share,0.11339468
36091,no_highschool_share,0.066343054
36017,no_highschool_share,0.13305223
48229,no_highschool_share,0.45983756
47185,no_highschool_share,0.21941231
47001,no_highschool_share,0.16185854
47107,no_highschool_share,0.19820665
47049,no_highschool_share,0.27596369
47081,no_highschool_share,0.24503857
47143,no_highschool_share,0.23128366
47093,no_highschool_share,0.098270282
47013,no_highschool_share,0.29565823
47123,no_highschool_share,0.2233187
47003,no_highschool_share,0.22466825
47019,no_highschool_share,0.20166683
47085,no_highschool_share,0.15837879
47167,no_highschool_share,0.14943755
47091,no_highschool_share,0.2725381
47041,no_highschool_share,0.24388748
49019,no_highschool_share,0.090302557
47097,no_highschool_share,0.25452673
47149,no_highschool_share,0.10290709
49025,no_highschool_share,0.056458004
47157,no_highschool_share,0.13972771
18129,no_highschool_share,0.079444572
23003,no_highschool_share,0.14879718
23029,no_highschool_share,0.12808441
23027,no_highschool_share,0.08838965
4025,no_highschool_share,0.098328866
4009,no_highschool_share,0.15593083
49043,no_highschool_share,0.068714835
49007,no_highschool_share,0.14049463
49051,no_highschool_share,0.10406447
53067,no_highschool_share,0.070635274
27147,no_highschool_share,0.076198697
27127,no_highschool_share,0.11431722
27087,no_highschool_share,0.1499559
27015,no_highschool_share,0.094993725
46085,no_highschool_share,0.11471952
46041,no_highschool_share,0.17969272
46075,no_highschool_share,0.077474892
48235,no_highschool_share,0.17484389
48125,no_highschool_share,0.22647887
48239,no_highschool_share,0.19382468
21203,no_highschool_share,0.24732189
21147,no_highschool_share,0.30169764
27023,no_highschool_share,0.12300844
27011,no_highschool_share,0.093823299
